text,label,sub,verb,obj
thanks . formed submitted . i m not betting someone would be honest enough to turn it in though . . .,0,3,4,3
been sleeping on the floor like i m homeless and now delayed flights because the equipment isn t working ! i have a job to get,0,0,8,3
finally boarded . looks like i ll make it to my final destination but my baggage won t baggagefail bagsflyfreebutnotwithme,0,3,12,3
cancelled flightled our original flight to aruba . now on the way home we were told we don t have seats . never flying again,0,1,8,1
i asked for some reimbursement something like miles added to my account and was told to call customer service,0,3,12,1
we re all standing here and no one is saying anything . i ll most likely be missing my flight to bwi again . http t . co jhau k yv,0,1,8,3
"never let s me down , every . single . flight . gets delayed .",0,1,6,1
"ua flight was a nightmare ! ! from poor customer service , having my confirmed seat given away . . . . more issues",0,3,12,3
flight departs am finally ! ! ! arrived jfk with no psgrs at pm . that s a long flight . aka bus http t . co kfkjf ztgi,0,3,8,3
how are you guys losing luggage when it was suppose to be on the same flight i was on . highly disappointed no meds no clothes (,0,3,8,2
are you ever looking for interns ?,1,0,8,2
do you mean fortunately ? i don t want my flight to be affected !,1,0,8,2
i ll let you know week after next when i do another coast coast rt again .,1,3,8,2
managers telling us to write a letter because we re upset about our tickets to leave tomorrow getting cancelled flightled without any notice,0,3,6,3
i bet they do ! i m sure they have some form of wear and tear on their skin . i hope they will survive the rest of the winter xxx,1,3,12,3
what are the chances of my flight to ewr from pit being cancelled flighted tomorrow ?,1,1,8,3
"no , it didn t all work out . i called jet blue from mexico to address the fraud alert with capital one on the line . rebooked .",0,3,12,3
every united flight between saipan and guam is an adventure ! you never know when old plane will be operational ),0,3,8,3
have done that . sadly no flight from clt has gotten to ind today and we head back to tampa tmrw .,0,0,8,1
i paid for economy plus and you put me in the last boarding group so i have to gate check my bags too ? knows better . .,0,3,12,2
i understand why ur doing it . but for someone who just traveled hours to get here early . relax b flight etc . adv notice maybe ? ?,0,3,8,3
pooling and gifting are completely different . i shouldn t have to be charged to send points . its disgusting .,0,0,8,3
well that is not going to help . i vebeen on hold over hrs amp my client wants his ff nbr in the record he s elite waa,0,3,8,1
so excited i was put on an earlier flight to get home ! woo hoo ! travel,0,3,10,3
"its ridic you cant transfer credit , you have my amp youre taking of it for cancelled flightling . atleast let me keep the credit damn",0,2,8,3
are the current on board food menus available anywhere online ?,1,3,8,3
it says changes can t be made online,0,3,8,3
i have no interesting flying with you after this . i will cancelled flight my next four flights i planned . neverflyvirginforbusiness,0,3,8,2
what s the status of flights for tuesday out of dallas ? ?,1,3,12,3
your no late flight bag check just lost you my business . i missed flight and am apt . three other people on flight had same exp .,0,2,12,1
never had a flight delayed an hour due to an unbalanced load . and more delays at great job idiots .,0,3,12,3
"used to exclusively fly sw , but late flightly , direct flights amp cheaper costs have me switched . why . . . so . . . few . . . direct . . . flights ?",0,0,8,1
is it possible to add companion to only the nd leg of a trip ?,1,3,8,3
"i can t even use my return flight home because the change fees you charge are too expensive , forcing me to purchase a new ticket .",0,3,8,1
. . . would be on the next flight to hayden steamboat,1,3,4,3
"yes , thanks for checking . very cramped , but got on amp made it safely . flying back tomorrow at pm . http t . co csddccmvbd",0,3,12,3
well they said cancelled flight on the pa system . guess they are trying to get a plane from boston . and not a confirmed,0,3,7,3
"sev ppl im my office received an apology and k . ff miles for this delay , only apologize to select ppl ? i got nothing . .",0,3,12,1
"after boarding flight , the captain informs that he could exceed the hrs regulation and turned the plane around . incredible !",0,3,12,3
i ve applied more then once to be a member of the inflight crew team . . . im interested . flightattendant dreampath g,0,3,6,3
hi is there somebody avail who can help . . . . . with an refund ? its unbelievable on the phone w us for more than hrs in days,0,3,8,3
flighted delayed for hours . pm arrival to vegas is now am . did you seriously lose my luggage ? ? ?,0,0,12,2
do you sell open tickets ? i have a sick relative and may have to travel at a moments notice . sad but true .,1,0,4,2
"i am a frequent user . congrats u only lost my bags once in years . problem , it was today and your staff were rude ! still no bag !",0,3,8,3
what does cabin functionality mean when i m taking a customer satisfaction survey ?,1,3,8,3
won t let me send a dm because they don t follow me . . lovedflyingwiththem notanymore wrong badpolicy,0,0,12,1
"instead of sending inaccurate emails about delay every min , just say we will get you there when we get you there .",0,3,8,1
i understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding ? smh come on . . .,0,3,8,3
why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane min after deplane,0,3,8,2
this was a real life exercise in crisis management which failed miserably . some compensation would go a long way .,0,3,12,3
hmmm . did the flight even really exist or did they just create it last night to get people off their backs ? usairsucks,0,3,12,3
plane veers off runway at icy dallas airport http t . co dw vdvqxbb,1,0,8,0
my coworker that had the same conflict as me with the hotel issue trying to share posted on their facebook page and they erased it ! !,0,1,12,1
gf was on hold for hours and call was dropped ! ! ! help ! ! ! ! ! need a flight ! ! !,0,3,12,3
really not acceptable . just informed plane won t start . chartering bus to take passengers to jfk .,0,3,12,3
i thought being a mosaic member had perks the best part is instead of checking the extra lbs i m carrying it on,0,3,7,3
my flight from mco has been delayed amp scheduled to arrive after my connection departs . what options do i have ?,0,1,8,1
it was such a lovely part of this long day attendants on ua ( most ) ua were beyond exceptional today . givethoseladiesraise,0,3,12,3
"yep , filed a claim at heathrow yesterday . we were promised a call this morning with an update , but got nothing .",0,3,12,1
your inflight team makes the experience amazing !,0,2,8,3
reviewing your oversize policy . hardcase golfbags are free if under weight . how do we add guitars and instruments to the list ?,0,2,8,2
. she just called to say it s a runway clearing problem of all things .,1,3,12,3
we ll have time and they aren t doing a damn thing . i m the guy in the winter hat and frowny face,0,1,8,3
how do i retroactively add previous flights miles points to current rapid rewards balance ?,1,3,8,3
do you have an e mail address i can write my account to ? might be less likely to disappear,1,0,8,2
i need united to be a better airline ! !,0,3,6,3
thanks for not ! sending me an update that our flight was delayed hours . unbelievable !,0,1,10,1
"woohoo that just made my day . i looked and just couldn t find that , thank you !",0,1,12,1
"oh yes , because i had loads of time running to my connecting flight after you delayed me for about minutes . . .",0,3,12,1
he is a lap infant ( mons old ),1,3,8,3
it s cool . i didn t need to go to work today . or get home to make sure my house is ok in the wind chill .,1,3,12,3
i ve called that and they said they can t help me and it s out of their hands . i really feel like an under appreciated customer,0,3,12,3
what s the contact number for the corporate baggage office in phoenix ?,1,3,12,3
i have a weekend of dealing with your company that would say otherwise .,0,3,8,2
my flight is delayed and i am connecting from boston . is it possible to switch me to flight so i can make my connection ?,0,1,6,1
flights in hrs amp i ve had the same flight attendant for of those flights . freaky coincidence ! plus side she s great . ),0,3,8,3
is anyone doing anything there today ? website is useless and no one is answering the phone .,0,3,8,3
so how do we get me a person ?,1,3,8,1
"i m getting info from the website , but needing to check it and the alerts would be much more beneficial .",1,3,4,3
"hi , i read there are weather warnings on the east coast of the us . would a flight from lhr to sfo be affected ?",1,3,8,3
my flight cancelled flighted due to lavatory problems . can t confirm if they are gonna get a flight from boston logan int,0,1,8,3
didn t realize no clothes until at hotel suggestions ?,1,3,8,3
"worst airline ever . . . . left without luggage for days , submit expenses and they offer a refund of ? badservice",0,3,12,3
you phone customer service team is bad . think it is time for me to consider switching airlines .,0,2,8,3
she s the type of person that can make a customers day ! i fly times a year amp she s one of the top flight attendants i ve had !,0,3,12,3
everyone around us is sitting with their friends and family members . they booked their tickets in october and december . we bought,0,1,12,3
"i mean . probably inappropriate while on board . . but , it s on !",0,3,8,3
"actually , the flight was just cancelled flightled ! http t . co qf oc hqez",0,3,12,3
flight is full .,0,3,8,3
this shits gotta stop rt our fleet s on fleek . http t . co peq pqmpp,0,3,8,1
thanks i think we ve got it figured out,0,3,8,1
new marketing song ? https t . co f lfulcbq let us know what you think ? http t . co nbzkhizf v,1,3,12,1
"you got me home hours after you were supposed to . . . i was living in an airport , you offered no monetary assistance !",0,2,12,1
the food served on aa was vile and gross . the entire cabin did not eat their meal . survey the flight crew . another gross out,0,3,12,3
thanks for your great customer service today amp for helping me get all my travel sorted out !,0,1,12,1
"hi guys , do you have a general enquires email address please ? thanks david .",1,3,8,2
airways adds new charter flight to cuba travel wires ( blog ) http t . co swb gr cc,1,3,8,3
"car services to and from the hotel , food , hotel cost bc of cancelled flightlations fall on the customer with last minute notifications",0,3,8,3
you have cancelled flighted our flights times over the past days . . . and the experience has been the worst . . . never again . . .,0,2,6,1
fingers crossed amp its all intact . very disappointed with this experience as before this we were actually saying we enjoyed using you,0,3,12,3
i heard companies were studying popular lingo for advertising but this is just depressing and embarrassing .,0,3,8,3
spent . hours in line trying to get on a flight home tonight only for it to be cancelled flightled an hour late flightr . not even snowing at dca,0,3,12,3
dm the conf to you did you receive it ?,1,2,12,3
i was so excited when i saw that you fly there ! ionlyflyblue,0,3,12,3
no cancelled flightn just left us to fend for ourselves when flt came in late flight . getting runaround for hrs . each employee blaming previous .,0,3,12,1
that can be a stop over before paris . you are an embarrassment,0,3,8,3
tsa said there is nothing they could do . but the question is why are your employee s swapping your customers belongings ?,0,3,12,3
just a very rude rep while trying to book family vacation using trvl credit . on phone w new rep now who is being very helpful,0,3,7,3
no worries . time flew in the terminal and now we re taking off . thanks again !,0,3,12,1
i will but right now i m to angry,0,3,8,3
hey me and my family have questions on a trip to disney world that we are doing in april . please follow me so i could dm you guys,1,1,8,1
i will be patient in my luxurious middle seat on my next delayed flight,0,3,4,3
new marketing song ? https t . co f lfulcbq let us know what you think ? http t . co wbhbljjks,1,3,12,1
where did my travel bank credit go ? i can t call you right now .,0,3,12,1
"having trouble signing in to trueblue today , despite right credentials . getting we are not able to sign you in msg .",0,3,8,1
"yes , but still now answers . many have not had their luggage for days ! unacceptable ! !",0,3,8,3
"that s the one . my original arrival time was am , after all said and done i may be there by pm central . not impressed .",0,3,12,3
good care of their customers if anything happen to then take you for getting me back to nyc ! ! screw you,0,3,8,2
hey any chance you have an update on flight hartford to d . c . ?,1,2,8,3
"i love you guys , but even comcast has a better phone help system . a simple callback system would fix most of the problem . . .",0,3,8,2
"switching planes due to mechanical problems . how does reboarding work ? was a , now at end of long line . stuck in middle ?",0,3,12,3
every time i search a flight your site logs me out and gives error message . about to book on a different airline and cancelled flight my card .,0,3,8,2
i ve been on the line waiting for minutes again .,0,3,6,3
tough i can take . zero meaningful assistance while stranded for days is another matter . looking for signs you care abt cust .,0,3,8,3
i meant can you use the k bonus sign up mileage for alaska flights or only american ?,1,3,12,2
"if you show available seats , you need to honor that ! i shouldnt spend hr on phone to hear that really there are not seats",0,2,8,3
so they didn t drop my bag overnight amp now i m leaving for a week . this is why you were supposed to hold on to the bag . . . .,0,3,8,3
i just sent a screen shot of the incident report .,0,3,12,3
after i waited hours in the airport being told one fib after the other . why can t ual be honest with its customers ?,0,3,12,3
wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience !,0,3,12,3
our vacation s going to be ruined w days of rain . ( the change fee for of us is nearly cost of original flight . can you help ?,1,1,8,1
thank you for credits . however i submitted complaints about the property on vacation package . hope you listen !,0,2,8,3
nice try at the gate making traveler after traveler put bags in the size guide because you oversold . sorry minefits,0,3,8,2
do you miss me ? don t worry we ll be together very soon .,1,0,8,2
my friends are stranded at kphl and the representatives there won t even give them food vouchers any help please ?,0,1,8,3
well you spelled my name wrong .,1,2,12,3
today take flight to san francisco . . . refuse to let us board with baby early . . . time we board wont let us take baby carryon bag,0,3,12,1
is there any way to get entry to the las vegas event to see perform ? destinationdragons,1,3,8,3
how is this considered on time if it s arriving at destination half hour late flightr than scheduled ? http t . co ymftw uyhr,0,3,8,3
so you re saying the call center is understaffed ?,0,2,6,3
i am all about the in flight artisanal cheese and wine pairing .,0,3,8,3
don t bother wasting your time ! will send u a form letter amp let u choose a gift certificate . worstcustomerservice,0,3,4,3
can i get some help with a support ticket ? it s been days . . . . incident thank you !,0,3,10,3
no . told to call cust service on monday,0,3,12,3
superb choice swa . i am a raving fan . they even take stress out of weather relate flightd glitches ! custexp,0,3,8,3
no i use to skyscanner and travel agency and i called u . you said you should call travel agency but,0,3,8,3
thanks ! makes sense . just annoying that it can t be determined better .,0,3,8,3
thanks for helping with reflight booking problems cancelled flightedflight yvonne anthony . you will help us get to tel aviv on time . happyfriday,0,3,4,2
all s well . i got comped with multiple other bags which just made my day ! http t . co aavvoreph,0,3,8,1
"she claimed that she did , but i was not happy with the way i was treated .",0,3,12,3
"she helped me with my problem so easily and was so nice , you guys rock !",0,3,12,1
"i m an a list preferred customer and very loyal swa . however , your inflight wifi is no better today than it was years ago .",0,3,8,3
black history commercial is really sweet . well done .,0,3,8,3
is useless airways . day trying to get home on standby as a result of their cancelled flightlation . usairways,0,0,8,3
you suck and you ruined my day . and my vacation isn t even until june .,0,2,8,2
baggage drop at phl b c is incredibly backed up . . . unacceptable service,0,3,8,3
it would be nice if i could talk to an agent rather than get caught up w a promotion amp then be hung up on,0,3,4,3
hi . my relative s flight booking problems number is my yb . her name is clarita jaramillo mejia . thank you,1,3,8,1
i used my aadvantage number connected to the usairways when i booked tickets for friends . will it benefit my account ?,1,3,12,1
"hey jetblue , you stranded an entire plane that was supposed to go to jfk and we are getting restless . need better communication !",0,2,12,3
i was flying from ft lauderdale fl to seattle wa on the until the and they don t want to honor my flight .,0,3,8,3
we were on b this morning from boston to beautiful san diego . we really were bummed the satellite was broken . (,0,1,12,3
jt the issue is with missed connections early gate closings and zero concern from customer service,0,3,8,3
how do i change flights . hours is crazy please help,0,3,8,3
horrible travel day w your airlines . my flight to birmingham was cancelled flightled w no notification so i couldn t get on the,0,2,8,3
thank you for the response . how can i got about getting the points onto my rewards account ?,1,2,12,3
hell is terrible gate agents . and a three hour wait at the gate .,0,3,8,3
what a really great amp flattering story about you ! you should be very proud ) http t . co oktukjy o ( via,0,2,4,3
i ve been on hold for an hour amp a half trying to change my flight to bna . not very happy with customer service right now ! ! ! ! ! !,0,3,12,3
offloading the plane ? ! ? ! ? ! this is ridiculous ! ! ! !,0,3,8,3
thank you for the new club at o hare . very comfortable . you made the difficult weather days proficient and enjoyable .,0,2,12,3
. . just booked trip to cancun . . . no baggage fees . . but need to have more flight time options,0,3,8,3
so i can buy tix days before flight but can t transfer the tix . flawed security logic . flawed customer service,0,3,4,3
"great news for today . finally , columbus top unserved market will have flights .",0,3,4,3
y u no let me out and make fun size cookies stuckonaplane sos babyfood,0,1,8,1
"also , they said they couldn t even book the flight . they were having to put me on hold amp have someone else do it ? ? ?",0,3,12,3
"really ? was bumped down from gold status , asked to pay to keep it , and get fewer miles . . . how is that worth it ?",0,3,8,3
do you have any pride in your service ? any concerns for my wife and everyone else on that flight ? or you just don t care ? ? ? ? ! ! !,0,0,8,2
when is us air switching to aa ios app ? aa app is much better .,1,1,8,3
no monkey business we luv swa ! ! mdw mci homeandreadyfornexttrip http t . co xjvun zz,1,1,8,3
wow that s helpful .,0,3,8,3
you have the worst reps at jacksonville airport . so rude and totally not helpful at all !,0,2,8,3
i m on the flight ! everyone has been so nice and helpful ! i m just hoping we ll get to fly out ! thank you ! ),0,3,8,1
i need to speak with a customer service agent today between pm i had an unfortunate incident of discrimination today .,0,3,8,3
leave bur ten minutes late flight and arrive in sjc a minute before we were supposed to . . . impressed ! gettingbetter,0,3,10,1
"so publicly you asked for details on my flt . sent you a dm , like you asked , and have yet ( days ) to hear from you . unitedfail",0,2,12,1
i receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,0,3,8,3
merged airlines do not work for ff programs . very frustrating and the gate agents are to busy pouting to care . attitudeissues,0,3,8,3
i was flying home for a am event tomorrow . you pushed back my flight . now i have a ticket that won t get me home in time .,0,3,12,2
"if there are empty first class seats on my flight at check in , why wouldn t i be automatically upgraded ?",1,1,8,1
please help . we really want to fly with you . guessweflyingdelta,0,1,8,1
so you strand my bag in philly last sat and strand me in philly this sat . thanks for the bullshit .,0,2,8,3
has some of the best airfare prices ! gotta luv them ),0,3,8,3
u lost my bag and would not refund my bag fee ? does that make sense to you ? and yes i already called cust svc . they said no .,0,3,12,1
"was on flight from chi buf last night , almost hour delay cuz someone got on the plane without a pass sounds safe .",0,0,12,3
"they had snacks available , just no fresh food . . . not sure what happened , but i m sure we will grab a bite before our sfo connection",1,3,12,3
hey southwest ! i wanna go to see ! you guys are a lot better then jet blue .,0,3,8,3
is giving us free movies because apparently the dunkin donuts coffee is a safety hazard . thingsyoucantmakeup switch sbux ?,0,3,7,3
luv swa myself and my employees use you always ! !,0,3,8,1
"um , we knew this storm was coming , ? is why didn t useless air ? staff accordingly u idiots !",0,1,12,3
flight is still waiting for bags . most of us checked in hours ago . people are missing connections . please help !,0,3,8,1
hi aa friends ! my sis s flight aa dfw gt gt mke was cancelled flighted due to weather . any way you can help here ? what are her options ?,0,1,8,2
okay i understand a delay one way . but both ways ? c mon annoyed flights,0,3,8,3
i will give it a couple more weeks . thank you .,1,3,4,3
hahaha you guys are amazing . i love you guys ! ! !,0,2,8,3
diverted and missed our connecting flight . was just told that my bag is on it s way to msy . if you only had people that cared,0,1,12,1
will lose my bag but won t give me free pretzels frauds,0,1,8,1
not the case . now delayed due to mechanical issues with no update on departure time . just cancelled flight the goddamn flight so i go delta,0,3,8,3
we need help changing a name on a company reservation . . . . we tried calling customer relations but there is a busy signal .,0,1,8,3
i feel completely cheated i read your commitment to customer service via website and def did not get service suggested there .,0,3,8,2
thanks for your prompt response . i know you put safety first . unfortunately will hit freezing rain sleet on ride home .,0,3,8,2
my flight cost me just under and this is what happens ? i fly with and have no problems . i come the us times . . .,0,1,8,1
marks th year with new bluemanity plane design sun sentinel http t . co sjveelween,0,0,12,0
have been trying to reach american airlines since last evening to cancelled flight flights . worst customer service ever ! what now ? ? ?,0,0,5,3
define appreciate . i doubt the worst major airline in the usa acts on much feedback .,0,3,8,3
"before departure , while people who are delayed get up to to compensate their time . .",0,3,6,3
you got yourselves hot ladies flying the air for life loyal,0,2,12,3
ask but i teach marketing at a university and will gladly consult on customer service and how not to treat passengers .,0,3,8,3
"miami phl flight cancelled flightled just as i got to the gate . no one from aa around , no one on the phone . awful awful awful .",0,3,12,3
but when do i get my gin amp tonic ! ? ! ?,0,3,8,1
us too ! terrible airline ! just gave us a hotel hotline number and said sorry,0,1,12,3
yes i do bit you don t follow me so i can t dm you,1,3,8,3
where do i look for cabin crew vacancies ?,1,3,8,3
"after an hour wait , my issue is resolved . i did contact customer service to comment on the wait time . thanks for contacting me .",0,3,12,1
"my flight landed min , but we are being told to stay on the plane , haven t pulled up to the gate amp have little to no information .",0,1,12,3
ma am the doors close mins prior to departure but i was here mins before ? ! ? laughter from the agents,0,3,8,3
"not happy w app late flightly . last time i flew wouldn t let me check in , this time i checked in went on late flightr says i never checked in",0,3,8,1
any options to cos tonight ? doesn t look like ua will make it in time for ua . should i reserve a hotel room ?,0,3,4,3
"the sign in screen had major mobile issues , the responsive design wasn t working properly my nexus .",0,3,12,3
yes they do http t . co wcsazzqpae,1,3,8,3
thanks for listening ! i definitely was not the only person in line who thought it was absurd .,0,3,12,3
you can t control the weather but you can control customer service . without luggage for hours amp still yet to speak to a human .,0,2,8,3
is that,1,3,8,3
letting me down in san fran . no media rate ? what s the deal ? looks like this is the last time i fly anywhere with you .,0,1,8,1
bag was finally delivered and intact . thanks for your assistance .,0,3,12,2
i really appreciate you all s bhm commercial that aired today during bookofnegroes,0,3,12,2
hrs on tarmac yest b cancelled flight hr delay . why not send txt email re jfk closed amp saved all trip sit again ?,0,3,12,3
app is the worst one for airlines . can t do anything once your original flight time has gone by . useless .,0,3,8,2
"hours , no agent . should i keep waiting ?",0,3,4,3
"awesome ! rt watch nominated films at , feet . meetthefleet oscars http t . co dnstitrzwy",0,3,12,3
that s not a answer !,0,3,8,3
thank you for that . am i able to claim any interim expenses or is the cost of the stuff up on me ?,0,2,8,3
"why can t the gate agent on flight provide an update ? seriously , this is ridiculous how long people have been waiting",0,3,5,3
how oh how do we get tickets ! ? !,1,3,8,1
customer service provides no wiggle room to change flight without a change fee . has always been accommodating .,0,3,8,3
i had booked online but unable to cancelled flight online . but finally got thru .,1,3,12,3
understood . it simply feels as if the staff is not being entirely truthful about the situation .,0,3,8,3
you neglected to mention the fee per ticket . i had a medical reason and still have had to jump thru hoops .,0,2,12,3
been on hold to reserve award travel for over . hrs now . anyone home ? ? or is it a crazy weather issue ? http t . co cehroeurc,0,0,8,3
it s not about the weather . it s about the fact that i can t get ahold of anyone to help . but you can tweet me back .,0,3,8,3
lax m make it happen please else on a cruise with no luggage tomorrow,0,3,8,3
okay thanks . hope to be flying with you guys soon !,0,2,8,2
", to my surprise ba doesn t have me registered in the system , i was getting hopeful ( , lets step it up , okay ?",0,3,8,1
been on hold for an hour . i need to rebook my flight that was cancelled flighted ! help,0,0,10,3
i m over that honestly just would like to get going on the journey .,0,3,4,3
it was never really lost it was put on another flight with my knowledge we just weren t sure what flight but i have it ty !,0,3,12,3
well duh . my grandfather just got hired as a tsa agent and currently at pwm !,1,1,10,3
you re still the best,0,2,8,3
is our luggage so slow at lax,0,1,8,3
is profiting in the billions and throwing crap at the people who put them there . american is a hurting brand,0,3,7,3
the flt to ord is correct . per my dm it is the flight from ord to cvg i was charged for incorrectly,0,3,8,3
weather bc of system outage . hopefully everything goes smoothly now . thank you for follow up,0,3,8,2
my mother s flight was delayed from phl ord . we re on our way to nrt and the gate refused to upgrade . a platinum . blegh,0,1,12,1
could this email be resent as it doesnt appear to have arrived .,0,3,8,3
"yes , i filed a report in atlanta . my bags are in charlotte , nc . hours late flightr and still can t find my luggage . . .",0,3,12,3
seats available on the pm from ord to rdu . . . i need seats please,1,3,8,3
lga nashville cancelled flightled phone center no help . fabulous staff at gate d helped young men handled crowd well .,0,3,12,3
"it s just a bug report , guys",1,3,8,3
we are trying to go as far away from king scollegelondon as possible for charity today . would you help us ? jailbreak rag,1,1,7,2
"ceo gary kelly , you all are absolutely my heroes ! southwestrally bwi bestemployees swaculture http t . co jtxyhqhfjj",1,2,8,1
i urgently need two receipts sent but cs is closed . can you help ?,1,3,8,3
it shouldn t take longer to get to the gate than the flight itself takes . . . . minutes flying time minutes on runway so far,0,3,8,3
i m still waiting this has been going on far too long . is there someone i can speak to ?,0,3,8,3
i m still patiently waiting for a response to my complaint email on fri . what is the normal response time ?,0,3,8,1
how long does it take for my rapid rewards points to be credited to my account ?,1,3,8,3
i ve been sitting in the charlotte airport for hours . waited for crew and now maintenance . neveragain,0,3,5,3
i did . they told us the wrong carousel number .,1,3,12,3
me again ! i was just trying to rebook fare on wanna get away pricing and it disappeared in time i refreshed . is this normal ?,0,1,12,3
you need this song for your next commercial ! https t . co ju rhz rqc . swa love,1,2,8,2
i understand why the pilot would get on the plane but why st class ? there were empty coach seats near me ? i m a premier k ?,1,3,8,1
"got duped w a connection on st flight ( sneaky ) , now u won t give me a seat on an earlier flight w availability . shameful",0,3,12,1
thanks for moving my dad on to my my mom s flight . you helped make his birthday start with friendlyfriday awesomeness ! paws up !,0,1,8,1
in ord hotel issued to my yr old . tickets needed fixing again another hour and agents l r nightmare still not over,0,3,11,3
"that s interesting agent told me so . sadly , another booked passenger didn t make it to gate by push back so i made it on .",0,3,12,3
been sitting at gate for over min on us ! what gives ? ? ?,0,0,8,1
there are a lot of unhappy cold people on the bridge in freezing temps for an hour . not given any info .,0,3,8,3
not sure why i would bother when the agent at the airport didnt help amp nobody on phone would . ticket cancelled flightled for no reason .,0,3,10,3
i did not get any compensation after cancelled flighting my departure twice and made me missed my own wedding .,0,3,12,1
call volumes are high so the best answer is to hang up on me ?,0,3,8,3
"honestly , i stopped trying to report things via website . now i just laugh . flights work . miles accrue . i m sure it s just cosmetic .",0,3,8,3
am i the only one who had to look that up ? i must be getting old . . . damn,0,3,8,3
why don t you tell them to update the boards ? !,0,2,8,3
thanks ! y all have some of the best customer service left in the industry .,0,3,8,3
thanks ! her flight leaves at but she s arriving to the airport early . wedding is in vt in sept . grateful you fly to btv ! ! ),0,3,8,3
can you you think about hiring some baggage attendants at ewr ? been waiting for bags for hr . united overcharged amp underserved,0,2,8,3
yes staff were rude and unempathetic . i needed jacket and tablet by got at . if u take carryons cause plane full . don t lose em !,0,3,12,3
is flt delayed ?,1,0,8,3
no one is coming to line . on hold for hours . can u help here if i provide conf code ?,0,3,8,3
broke my suitcase amp refuses to give me a repair estimate . http t . co zouowgv q,0,1,12,1
